id,student_id,student_name,student_email,department,level,amount,fee_type,payment_coverage,coverage_percent,transaction_ref,receipt_number,payment_date,status,source_table,source_payload,reference_code,phone
28,STU-2024-001,John Doe,john.doe@example.com,Computer Science,100,2500.00,Tuition,Full,100,TXN-9F23A1,RCPT-0001,2025-01-10 09:45:00+00,completed,student_payments,"{""method"": ""card"", ""provider"": ""Paystack""}",REF-ABC123,08031234567
,STU-2024-001,John Doe,john.doe@example.com,Computer Science,100,50.00,SRC,Full,100,TXN-SRC001,RCPT-SRC001,2025-01-10 09:46:00+00,paid,student_payments,"{""method"": ""card"", ""provider"": ""Paystack""}",REF-SRC001,08031234567
,STU-2024-001,John Doe,john.doe@example.com,Computer Science,100,80.00,Medical,Full,100,TXN-MED001,RCPT-MED001,2025-01-10 09:47:00+00,paid,student_payments,"{""method"": ""card"", ""provider"": ""Paystack""}",REF-MED001,08031234567
,STU-2024-001,John Doe,john.doe@example.com,Computer Science,100,50.00,Departmental,Full,100,TXN-DEPT001,RCPT-DEPT001,2025-01-10 09:48:00+00,paid,student_payments,"{""method"": ""card"", ""provider"": ""Paystack""}",REF-DEPT001,08031234567
29,STU-2024-002,Mary Johnson,mary.johnson@example.com,Business Administration,200,75000.00,Tuition,Partial,50,TXN-4K92LM,RCPT-0002,2025-01-11 14:20:00+00,completed,student_payments,"{""bank"": ""GTBank"", ""method"": ""bank_transfer""}",REF-DEF456,08039876543
,STU-2024-002,Mary Johnson,mary.johnson@example.com,Business Administration,200,50.00,SRC,Full,100,TXN-SRC002,RCPT-SRC002,2025-01-11 14:21:00+00,paid,student_payments,"{""bank"": ""GTBank"", ""method"": ""bank_transfer""}",REF-SRC002,08039876543
,STU-2024-002,Mary Johnson,mary.johnson@example.com,Business Administration,200,80.00,Medical,Full,100,TXN-MED002,RCPT-MED002,2025-01-11 14:22:00+00,paid,student_payments,"{""bank"": ""GTBank"", ""method"": ""bank_transfer""}",REF-MED002,08039876543
,STU-2024-002,Mary Johnson,mary.johnson@example.com,Business Administration,200,50.00,Departmental,Full,100,TXN-DEPT002,RCPT-DEPT002,2025-01-11 14:23:00+00,paid,student_payments,"{""bank"": ""GTBank"", ""method"": ""bank_transfer""}",REF-DEPT002,08039876543
30,STU-2024-003,Samuel Okoye,samuel.okoye@example.com,Electrical Engineering,300,2040.00,Tuition,Partial,80,TXN-88QWZ9,RCPT-0003,2025-01-12 08:05:00+00,paid,student_payments,"{""method"": ""ussd"", ""provider"": ""Flutterwave""}",REF-GHI789,08061239876
,STU-2024-003,Samuel Okoye,samuel.okoye@example.com,Electrical Engineering,300,50.00,SRC,Full,100,TXN-SRC003,RCPT-SRC003,2025-01-12 08:06:00+00,paid,student_payments,"{""method"": ""ussd"", ""provider"": ""Flutterwave""}",REF-SRC003,08061239876
,STU-2024-003,Samuel Okoye,samuel.okoye@example.com,Electrical Engineering,300,80.00,Medical,Full,100,TXN-MED003,RCPT-MED003,2025-01-12 08:07:00+00,paid,student_payments,"{""method"": ""ussd"", ""provider"": ""Flutterwave""}",REF-MED003,08061239876
,STU-2024-003,Samuel Okoye,samuel.okoye@example.com,Electrical Engineering,300,50.00,Departmental,Full,100,TXN-DEPT003,RCPT-DEPT003,2025-01-12 08:08:00+00,paid,student_payments,"{""method"": ""ussd"", ""provider"": ""Flutterwave""}",REF-DEPT003,08061239876
31,STU-2024-004,Aisha Bello,aisha.bello@example.com,Mass Communication,100,2040.00,Tuition,Partial,80,TXN-ZX91PO,RCPT-0004,2025-01-13 16:40:00+00,paid,student_payments,"{""error"": ""insufficient_funds"", ""method"": ""card""}",REF-JKL012,08045556677
,STU-2024-004,Aisha Bello,aisha.bello@example.com,Mass Communication,100,50.00,SRC,Full,100,TXN-SRC004,RCPT-SRC004,2025-01-13 16:41:00+00,paid,student_payments,"{""method"": ""card"", ""provider"": ""Paystack""}",REF-SRC004,08045556677
,STU-2024-004,Aisha Bello,aisha.bello@example.com,Mass Communication,100,80.00,Medical,Full,100,TXN-MED004,RCPT-MED004,2025-01-13 16:42:00+00,paid,student_payments,"{""method"": ""card"", ""provider"": ""Paystack""}",REF-MED004,08045556677
,STU-2024-004,Aisha Bello,aisha.bello@example.com,Mass Communication,100,50.00,Departmental,Full,100,TXN-DEPT004,RCPT-DEPT004,2025-01-13 16:43:00+00,paid,student_payments,"{""method"": ""card"", ""provider"": ""Paystack""}",REF-DEPT004,08045556677
32,STU-2024-005,David Chen,david.chen@example.com,Information Technology,400,2040.00,Tuition,Partial,80,TXN-PLM552,RCPT-0005,2025-01-14 11:10:00+00,paid,student_payments,"{""method"": ""wallet"", ""wallet_id"": ""WLT-7788""}",REF-MNO345,08070011223
,STU-2024-005,David Chen,david.chen@example.com,Information Technology,400,50.00,SRC,Full,100,TXN-SRC005,RCPT-SRC005,2025-01-14 11:11:00+00,paid,student_payments,"{""method"": ""wallet"", ""wallet_id"": ""WLT-7788""}",REF-SRC005,08070011223
,STU-2024-005,David Chen,david.chen@example.com,Information Technology,400,80.00,Medical,Full,100,TXN-MED005,RCPT-MED005,2025-01-14 11:12:00+00,paid,student_payments,"{""method"": ""wallet"", ""wallet_id"": ""WLT-7788""}",REF-MED005,08070011223
,STU-2024-005,David Chen,david.chen@example.com,Information Technology,400,50.00,Departmental,Full,100,TXN-DEPT005,RCPT-DEPT005,2025-01-14 11:13:00+00,paid,student_payments,"{""method"": ""wallet"", ""wallet_id"": ""WLT-7788""}",REF-DEPT005,08070011223
